Cluster,N_Components,BIC,AIC,Log_Likelihood
4,1,-284.39507165392945,-244.50420512672235,187.25210256336118
4,2,-255.03928820071647,-174.64384950742215,218.32192475371107
4,3,-197.68758435485933,-76.78757349547777,235.3937867477389
4,4,-106.19215652094653,55.21242650452223,235.3937867477389
6,1,-199.39069437052876,-140.8004931339559,135.40024656697796
6,2,-182.55359086785884,-64.47180068338122,163.2359003416906
6,3,-136.31071014702158,41.26266898536079,176.3686655073196
7,1,-178.73239659691376,-93.78696333331021,111.8934816666551
7,2,-145.97780045550593,25.21991889114122,118.39004055442939
10,1,-199.39069437052876,-140.8004931339559,135.40024656697796
10,2,-182.55359086785884,-64.47180068338122,163.2359003416906
10,3,-136.31071014702158,41.26266898536079,176.3686655073196
11,1,-178.73239659691376,-93.78696333331021,111.8934816666551
11,2,-145.97780045550593,25.21991889114122,118.39004055442939
13,1,-209.4292895031491,-150.83908826657625,140.41954413328813
13,2,-185.2590413472973,-67.17725116281969,164.58862558140984
13,3,-136.31071014702158,41.26266898536079,176.3686655073196
14,1,-196.29222927397853,-137.70202803740568,133.85101401870284
14,2,-180.46575820471165,-62.38396802023402,162.191984010117
14,3,-136.31071014702158,41.26266898536079,176.3686655073196
15,1,-178.73239659691376,-93.78696333331021,111.8934816666551
15,2,-145.97780045550593,25.21991889114122,118.39004055442939
20,1,-166.62247005706703,-81.67703679346349,105.83851839673174
20,2,-145.97780045550593,25.21991889114122,118.39004055442939
23,1,-209.38201159622975,-150.7918103596569,140.39590517982845
23,2,-185.94798831956362,-67.866198135086,164.933099067543
23,3,-136.31071014702158,41.26266898536079,176.3686655073196
24,1,-313.71286306395956,-288.3263273721761,209.16316368608804
24,2,-278.0987401758905,-226.93510670475763,244.46755335237881
24,3,-232.88945026388683,-155.94871901340457,274.9743595067023
24,4,-146.51200670768839,-43.79417767785674,284.89708883892837
27,1,-220.82904943609793,-162.23884819952508,146.11942409976254
27,2,-191.2937600697272,-73.21196988524957,167.6059849426248
27,3,-136.31071014702158,41.26266898536079,176.3686655073196
