pfam_id,primary_role,resistant,reason
PF00004,other,no,AAA family proteins are chaperone-like and not directly involved in biosynthetic functions.
PF00005,transport,yes,"ABC transporters are known to function as efflux pumps, which can confer resistance by exporting toxic compounds."
PF00006,other,no,ATP synthase is not directly involved in biosynthetic processes or resistance.
PF00007,other,no,The Cys_knot domain is involved in protein dimerization and is not directly related to biosynthetic functions or resistance.
PF00009,other,no,"Elongation factor Tu is involved in protein synthesis, not directly related to biosynthetic gene clusters."
PF00011,other,no,"HSP20 is a small heat-shock protein involved in stress response, not directly related to biosynthetic functions or resistance."
PF00012,other,no,"HSP70 is a chaperone involved in protein folding, not directly related to biosynthetic functions or resistance."
PF00013,other,no,KH motifs are involved in RNA binding and are not directly related to biosynthetic functions or resistance.
PF00015,regulation,no,"The MCPsignal domain is involved in signal transduction, which is a regulatory function."
PF00016,other,no,RuBisCO is involved in carbon fixation and not directly related to biosynthetic gene clusters or resistance.
PF00017,other,no,SH2 domains are involved in protein-protein interactions and are not specific to biosynthetic gene clusters.
PF00018,other,no,"SH3 domains are involved in signal transduction and cytoskeletal organization, not directly related to biosynthetic functions."
PF00023,other,no,"Ankyrin domains are multifunctional adaptors involved in protein interactions and membrane binding, not directly related to biosynthetic functions or resistance."
PF00024,other,no,"The PAN domain is involved in protein-protein and protein-carbohydrate interactions, not directly related to biosynthetic functions or resistance."
PF00025,other,no,The description indicates a combination of families without a specific biosynthetic function.
PF00026,other,no,Aspartyl proteases are general metabolic enzymes and not specific to biosynthetic gene clusters.
PF00027,regulation,no,"The domain is a sensor that binds signaling molecules, indicating a regulatory function."
PF00028,other,no,Cadherin is a cell adhesion protein and does not directly relate to biosynthetic gene clusters or resistance.
PF00030,other,no,"The Crystall domain does not have a specific role in biosynthesis, modification, transport, or regulation."
PF00031,other,no,Cystatin is a diverse family of proteins not specifically related to biosynthetic gene clusters or resistance.
PF00032,other,no,"The domain is a cytochrome, which is not directly involved in biosynthetic processes or resistance."
PF00033,other,no,"Cytochrome_B is a general protein domain involved in electron transport, not specific to biosynthetic functions."
PF00034,other,no,Cytochrome C is involved in electron transport and not directly related to biosynthetic gene clusters or resistance.
PF00035,other,no,"The domain is involved in RNA binding and localization, not directly related to biosynthetic functions or resistance."
PF00036,other,no,"EF-hand domains are involved in calcium signaling and buffering, not directly related to biosynthetic processes or resistance."
PF00037,other,no,The domain is involved in binding iron-sulfur clusters and is not directly related to biosynthetic functions or resistance.
PF00041,other,no,The domain fn3 is not specific to biosynthetic gene clusters and does not confer resistance.
PF00042,other,no,"Globins are involved in oxygen transport and storage, not directly related to biosynthetic gene clusters."
PF00043,other,no,"GST_C is involved in conjugating glutathione to various targets, which is not directly related to biosynthetic processes or resistance."
PF00044,other,no,GAPDH is involved in glycolysis and not directly related to biosynthetic gene clusters.
PF00045,transport,no,"Hemopexin is a heme-binding protein that transports heme, but it is not known to confer resistance or self-protection."
PF00050,other,no,Kazal_1 is primarily associated with serine protease inhibitors and does not directly relate to biosynthetic gene clusters.
PF00052,other,no,Laminin_B is not directly involved in biosynthetic processes or resistance.
PF00054,other,no,Laminin_G_1 is not directly related to biosynthetic gene clusters or resistance.
PF00056,other,no,"L-lactate dehydrogenases are metabolic enzymes involved in glycolysis and the citric acid cycle, not directly related to biosynthetic gene clusters."
PF00057,other,no,"The domain is related to LDL receptors, which are not directly involved in biosynthetic gene clusters."
PF00058,other,no,The YWTD motif is a structural domain not directly involved in biosynthetic functions or resistance.
PF00059,other,no,Lectin_C domains are involved in carbohydrate binding and do not directly relate to biosynthetic processes or resistance.
PF00062,other,no,"Alpha-lactalbumin and lysozymes are involved in substrate specificity and bacteriolysis, but do not directly participate in biosynthetic pathways or confer resistance."
PF00067,tailoring,no,"Cytochrome P450s are involved in the oxidative modification of compounds, fitting the tailoring role."
PF00068,other,no,Phospholipase A2 is involved in lipid metabolism and not directly related to biosynthetic gene clusters or resistance.
PF00069,other,no,"Pkinase is a protein kinase domain, which is not directly involved in biosynthetic processes or resistance."
PF00070,other,no,The domain is involved in redox reactions but does not directly relate to biosynthetic processes or resistance.
PF00071,regulation,no,"Ras GTPases are important regulators of vesicle formation and motility, not directly involved in biosynthetic processes."
PF00072,regulation,no,"This domain is involved in signal reception in two-component systems, which regulates gene expression."
PF00075,other,no,"RNase H is involved in RNA digestion and retroviral replication, but does not directly participate in biosynthetic processes or confer resistance."
PF00076,other,no,"The RRM domain is involved in RNA binding and regulation, but does not directly relate to biosynthetic processes or resistance."
PF00078,other,no,"Reverse transcriptase is associated with mobile genetic elements, not directly involved in biosynthetic pathways."
PF00079,other,no,Serpins are not directly involved in biosynthetic processes or resistance mechanisms.
PF00080,other,no,"Sod_Cu is involved in detoxifying superoxide radicals, not directly related to biosynthetic pathways or resistance."
PF00081,other,no,"SODs are general metabolic enzymes involved in detoxifying superoxide radicals, not directly related to biosynthetic pathways or resistance."
PF00082,other,no,Subtilases are serine proteases not directly involved in biosynthetic pathways or resistance.
PF00083,other,no,The domain is related to sugar transport but does not specify a direct role in biosynthetic gene clusters or resistance.
PF00085,other,no,Thioredoxins are involved in redox reactions but do not directly participate in biosynthetic processes or confer resistance.
PF00089,other,no,Trypsin is a general protease and not specific to biosynthetic gene clusters.
PF00091,other,no,"Tubulin is involved in cell division and polymer formation, not directly related to biosynthetic gene clusters or resistance."
PF00092,other,no,VWA domain is not specific to biosynthetic functions and does not confer resistance.
PF00094,other,no,The VWD domain is structurally homologous to RGM but its function is unrelated to biosynthetic gene clusters.
PF00096,regulation,no,"The C2H2 zinc finger domain is primarily involved in DNA binding and regulation of gene expression, not in biosynthetic processes or resistance."
PF00101,other,no,RuBisCO_small is not directly involved in biosynthetic processes or resistance.
PF00102,other,no,"The domain is a phosphatase, which does not directly relate to biosynthetic functions or resistance."
PF00106,other,no,The domain is a general dehydrogenase and does not specifically relate to biosynthetic pathways or resistance.
PF00107,other,no,The domain is related to alcohol dehydrogenase but does not directly indicate a role in biosynthetic gene clusters.
PF00108,other,no,Thiolase is involved in various metabolic pathways but does not directly participate in biosynthetic backbone assembly or modification specific to BGCs.
PF00109,core,no,beta-ketoacyl synthase is involved in the assembly of biosynthetic backbones.
PF00111,other,no,The domain Fer2 does not have a specific functional role related to biosynthetic gene clusters or resistance.
PF00112,other,no,"Peptidase_C1 is a peptidase domain, which does not directly relate to biosynthetic gene clusters or resistance."
PF00113,other,no,Enolase_C is not directly involved in biosynthetic processes or resistance.
PF00114,other,no,Pilin is not directly involved in biosynthetic processes or resistance mechanisms.
PF00115,other,no,"COX1 is involved in aerobic metabolism and energy transfer, not directly related to biosynthetic gene clusters."
PF00116,other,no,The description does not provide information indicating a specific biosynthetic function or resistance.
PF00117,other,no,GATase is a general enzyme and does not directly relate to biosynthetic pathways or resistance.
PF00118,other,no,HSP60 chaperones are general chaperones and not specific to biosynthetic gene clusters.
PF00119,other,no,"ATP-synt_A is related to ATP synthesis, which is not specific to biosynthetic gene clusters."
PF00120,other,no,The domain is related to glutamine synthetase but does not directly participate in biosynthetic pathways or resistance.
PF00121,other,no,"TIM is a glycolytic enzyme involved in general metabolism, not specific to biosynthetic gene clusters."
PF00122,other,no,"E1-E2_ATPase is a general metabolic enzyme involved in ATP hydrolysis, not specific to BGC function."
PF00124,other,no,The domain name and description do not provide specific information related to biosynthetic functions or resistance.
PF00126,regulation,no,HTH_1 is a helix-turn-helix domain typically involved in DNA binding and regulation of gene expression.
PF00127,other,no,The domain is related to copper binding but does not directly indicate a role in biosynthetic processes or resistance.
PF00128,other,no,"Alpha-amylase is a glycosyl hydrolase involved in carbohydrate metabolism, not directly related to biosynthetic gene clusters."
PF00132,other,no,"The description does not provide information indicating a specific functional role related to biosynthesis, tailoring, transport, or regulation."
PF00133,other,no,tRNA synthetases are general metabolic enzymes not specific to BGC function.
PF00135,other,no,COesterase is not specifically related to biosynthetic gene clusters or resistance.
PF00136,other,no,DNA_pol_B is involved in DNA replication and does not directly relate to biosynthetic gene clusters or resistance.
PF00137,other,no,ATP synthase is a general metabolic enzyme not specific to BGC function.
PF00140,other,no,"The domain is related to sigma factors, which are involved in transcription initiation but not directly in biosynthetic processes or resistance."
PF00141,other,no,"Peroxidase is a general enzyme involved in oxidation-reduction reactions, not specific to biosynthetic pathways."
PF00142,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00144,tailoring,yes,Beta-lactamase enzymes modify and confer resistance against beta-lactam antibiotics.
PF00145,other,no,DNA methylases are involved in DNA modification but do not directly relate to biosynthetic gene clusters or resistance.
PF00146,other,no,The domain is not specified to have a direct role in biosynthetic pathways or resistance.
PF00147,other,no,Fibrinogen_C is not directly related to biosynthetic gene clusters or resistance.
PF00148,tailoring,no,"The domain is involved in oxidation-reduction processes, which are typically associated with the modification of compounds rather than backbone assembly or transport."
PF00149,other,no,"Metallophos includes various phosphoesterases and nucleases, which are not directly involved in biosynthetic pathways or resistance."
PF00150,other,no,"Cellulase is a general enzyme involved in the breakdown of cellulose, not specific to biosynthetic gene clusters."
PF00151,other,no,"Lipase is a general enzyme involved in lipid metabolism, not specific to biosynthetic gene clusters."
