pfam_id,clan_id,description
PF00001,CL0192,7 transmembrane receptor (rhodopsin family)
PF00002,CL0192,7 transmembrane receptor (Secretin family)
PF00003,CL0192,7 transmembrane sweet-taste receptor of 3 GCPR
PF00004,CL0023,ATPase family associated with various cellular activities (AAA)
PF00005,CL0023,ABC transporter
PF00006,CL0023,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF00007,CL0079,Cystine-knot domain
PF00008,CL0001,EGF-like domain
PF00009,CL0023,Elongation factor Tu GTP binding domain
PF00010,CL0827,Helix-loop-helix DNA-binding domain
PF00011,CL0190,Hsp20/alpha crystallin family
PF00012,CL0108,Hsp70 protein
PF00013,CL0007,KH domain
PF00014,,Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015,,Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016,CL0036,"Ribulose bisphosphate carboxylase large chain, catalytic domain"
PF00017,CL0541,SH2 domain
PF00018,CL0010,SH3 domain
PF00019,CL0079,Transforming growth factor beta like domain
PF00020,CL0607,TNFR/NGFR cysteine-rich region
PF00021,CL0117,u-PAR/Ly-6 domain
PF00022,CL0108,Actin
PF00023,CL0465,Ankyrin repeat
PF00024,CL0168,PAN domain
PF00025,CL0023,ADP-ribosylation factor family
PF00026,CL0129,Eukaryotic aspartyl protease
PF00027,CL0029,Cyclic nucleotide-binding domain
PF00028,CL0159,Cadherin domain
PF00029,CL0375,Connexin
PF00030,CL0333,Beta/Gamma crystallin
PF00031,CL0320,Cystatin domain
PF00032,,Cytochrome b(C-terminal)/b6/petD
PF00033,CL0328,Cytochrome b/b6/petB
PF00034,CL0318,Cytochrome c
PF00035,CL0196,Double-stranded RNA binding motif
PF00036,CL0220,EF hand domain
PF00037,CL0344,4Fe-4S binding domain
PF00038,,Intermediate filament protein
PF00039,CL0451,Fibronectin type I domain
PF00040,CL0602,Fibronectin type II domain
PF00041,CL0159,Fibronectin type III domain
PF00042,CL0090,Globin
PF00043,CL0497,"Glutathione S-transferase, C-terminal domain"
PF00044,CL0063,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
